"filename", "language", "Dart", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\shimmer\category_shimmer.dart", "Dart", 26, 2, 2, 30
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\controller\category_controller.dart", "Dart", 8, 1, 1, 10
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\widget\home_categories.dart", "Dart", 15, 0, 0, 15
"Total", "-", 49, 3, 3, 55
