"filename", "language", "C++", "CMake", "Dart", "JSON", "YAML", "Markdown", "Swift", "XML", "Properties", "HTML", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\common\style\spacing_style.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Profesional Flutter project Structure\s_store\lib\common\widget_sigin_up_login\form_divider.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Profesional Flutter project Structure\s_store\lib\common\widget_sigin_up_login\social_button.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\app.bar\app_bar.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 4, 50
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\app.bar\tabbar.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\brands\brands_showcase.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 4, 51
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\brands\sbrand_card.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 1, 3, 63
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\chip\chip_choices.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 5, 6, 53
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\custom_shape\containers\circuler_container.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\custom_shape\containers\primary_header_container.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\custom_shape\containers\rounded_container.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\custom_shape\containers\search_container.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\custom_shape\curved_edge\curved_edges.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\custom_shape\curved_edge\curved_edges_widget.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\image_text.widget\vertical_image_text.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 2, 5, 62
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\list_tile\setting_menu.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\list_tile\user_profile.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\loader\animation.loader.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\products\products_cards\product_card_horizontal.dart", "Dart", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 2, 4, 135
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\products\products_cards\product_card_verticle.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 3, 4, 121
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\products\rating\rating_bar_indicator.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\products\sortable\sortable.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\successScreen\sucees_screen.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 3, 57
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\text\S.brand_title_text.verified.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 4, 50
