"filename", "language", "Dart", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\products\products_cards\product_card_horizontal.dart", "Dart", 127, 2, 2, 131
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\widget\home_categories.dart", "Dart", 2, 0, 0, 2
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\sub_catogories\sub_categories.dart", "Dart", 34, 0, 3, 37
"Total", "-", 163, 2, 5, 170
