"filename", "language", "Dart", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\text\section_heading.dart", "Dart", 2, 0, 0, 2
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\order\widgets\s.order.list.dart", "Dart", 54, 0, 1, 55
"Total", "-", 56, 0, 1, 57
