"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\products\rating\rating_bar_indicator.dart", "Dart", 0, 17, 0, 3, 20
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\product_detail.dart", "Dart", 0, 2, 0, 0, 2
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\product_reviews.dart", "Dart", 0, 34, 3, 3, 40
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\rating_progress_indicator.dart", "Dart", 0, 28, 0, 3, 31
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\user_review_card.dart", "Dart", 0, 60, 1, 3, 64
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\widgets\progress_indicator_and_reviews.dart", "Dart", 0, 35, 1, 3, 39
"d:\Profesional Flutter project Structure\s_store\pubspec.yaml", "YAML", 1, 0, 0, 0, 1
"Total", "-", 1, 176, 5, 15, 197
