"filename", "language", "Dart", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\list_tile\setting_menu.dart", "Dart", 1, 0, 0, 1
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\address.dart", "Dart", 39, 0, 3, 42
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\address.new.dart", "Dart", 100, 0, 3, 103
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\setting\setting.dart", "Dart", -134, -2, -3, -139
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\widget\single_adress.dart", "Dart", 70, 0, 4, 74
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\setting\setting.dart", "Dart", 134, 2, 3, 139
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\cart_screen.dart", "Dart", 53, 0, 4, 57
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\cart_button.dart", "Dart", 39, 0, 3, 42
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\s_cart_item.dart", "Dart", 72, 0, 3, 75
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\x_cartitem.dart", "Dart", 30, 0, 3, 33
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\widget\home_appbar.dart", "Dart", 7, 0, 0, 7
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\product_attributes.dart", "Dart", -2, 0, 0, -2
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\product_detail.dart", "Dart", 4, 0, 0, 4
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\product_reviews.dart", "Dart", 1, 0, 0, 1
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\user_review_card.dart", "Dart", 43, 0, 0, 43
"Total", "-", 457, 0, 23, 480
